Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0169;1.1326;1.1774;1.081;
2;1.0249;1.2854;1.3815;1.1212;
3;1.0326;1.3618;1.5353;1.1326;
4;1.0382;1.3794;1.6952;1.1425;
5;1.0408;1.3964;1.7457;1.1523;
6;1.043;1.4125;1.7945;1.1617;
7;1.0449;1.4268;1.8381;1.1695;
8;1.0467;1.4383;1.8812;1.1772;
9;1.0485;1.4486;1.9149;1.1846;
10;1.0502;1.4584;1.9475;1.1908;
11;1.0511;1.4663;1.9769;1.1971;
12;1.0518;1.4729;2.0046;1.2031;
13;1.0524;1.4791;2.0324;1.2092;
14;1.0529;1.4836;2.0547;1.214;
15;1.0533;1.488;2.0767;1.2187;
16;1.0537;1.492;2.0985;1.223;
17;1.0541;1.4957;2.1203;1.2273;
18;1.0544;1.4994;2.1425;1.2315;
19;1.0547;1.5024;2.1648;1.2348;
20;1.055;1.5053;2.1873;1.2381;
21;1.0553;1.5077;2.2085;1.2413;
22;1.0555;1.5091;2.2292;1.2444;
23;1.0558;1.5103;2.2498;1.2475;
24;1.056;1.5113;2.2708;1.2505;
25;1.0562;1.5122;2.2908;1.2533;
26;1.0563;1.513;2.3098;1.2561;
27;1.0565;1.5139;2.3291;1.2584;
28;1.0566;1.5145;2.3474;1.2606;
29;1.0568;1.515;2.3644;1.2628;
30;1.0569;1.5152;2.3797;1.2648;
31;1.057;1.5152;2.3947;1.2668;
32;1.0572;1.5152;2.4059;1.2686;
33;1.0573;1.5152;2.4165;1.2702;
34;1.0574;1.5152;2.4244;1.2715;
35;1.0575;1.5152;2.4308;1.2727;
36;1.0576;1.5152;2.437;1.2739;
37;1.0577;1.5152;2.4422;1.275;
38;1.0577;1.5152;2.4465;1.2761;
39;1.0578;1.5152;2.4503;1.2772;
40;1.0578;1.5152;2.4535;1.2781;
