Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0094;1.0608;1.0796;1.0441;
2;1.016;1.1181;1.1536;1.0746;
3;1.0188;1.1647;1.236;1.0863;
4;1.0214;1.1798;1.2913;1.0971;
5;1.0233;1.1892;1.3132;1.1042;
6;1.0249;1.198;1.3345;1.1108;
7;1.0265;1.2061;1.3545;1.1174;
8;1.0274;1.2122;1.3732;1.1235;
9;1.0283;1.2166;1.3924;1.1295;
10;1.0291;1.221;1.4054;1.135;
11;1.0296;1.2249;1.4186;1.1398;
12;1.0301;1.2284;1.4307;1.1439;
13;1.0304;1.2317;1.4428;1.1479;
14;1.0307;1.2347;1.4551;1.1516;
15;1.031;1.2374;1.4667;1.1552;
16;1.0313;1.2394;1.4773;1.1587;
17;1.0316;1.2413;1.4877;1.1622;
18;1.0318;1.2426;1.4972;1.1657;
19;1.032;1.2436;1.5067;1.1689;
20;1.0323;1.2445;1.5163;1.1719;
21;1.0325;1.2455;1.5258;1.1747;
22;1.0326;1.2462;1.535;1.1772;
23;1.0328;1.2468;1.5433;1.1796;
24;1.0329;1.2473;1.5515;1.1821;
25;1.0331;1.2478;1.5593;1.1845;
26;1.0332;1.2482;1.567;1.1864;
27;1.0333;1.2486;1.5748;1.1877;
28;1.0334;1.249;1.5799;1.189;
29;1.0336;1.2493;1.5837;1.1903;
30;1.0337;1.2496;1.5865;1.1916;
31;1.0338;1.2496;1.5893;1.1929;
32;1.0338;1.2496;1.5919;1.1941;
33;1.0338;1.2496;1.5944;1.1952;
34;1.0338;1.2496;1.5967;1.1962;
35;1.0338;1.2496;1.5991;1.1971;
36;1.0338;1.2496;1.6011;1.198;
37;1.0338;1.2496;1.6029;1.1988;
38;1.0338;1.2496;1.6045;1.1995;
39;1.0338;1.2496;1.6059;1.2002;
40;1.0338;1.2496;1.6071;1.2007;
